1,2,3,9.7895e+09,9.6003,5.2761,-111.02,2.3725,0.000371,0
1,2,3,9.702e+09,10.009,6.5218,-41.021,12.76,0.003498,1
1,2,3,9.1769e+09,2.505,25.289,-61.853,78.345,0.0004505,4
1,2,3,9.042e+09,9.8851,0.72359,-66.44,0.16433,0.000371,0
1,2,3,9.1675e+09,2.5026,23.007,-67.544,76.196,0.0004505,4
1,2,3,9.1681e+09,2.5023,25.34,-64.932,78.074,0.0004505,4
1,2,3,9.4155e+09,36.131,19.802,-67.594,71.42,0.0017081,3
1,2,3,9.1675e+09,2.5047,20.721,-73.974,74.501,0.0004505,4
1,2,3,9.7016e+09,10.005,9.8462,-124.43,48.964,0.006095,1
1,2,3,9.1139e+09,9.6082,5.1103,-137.9,2.2252,0.000371,0
1,2,3,9.6977e+09,10.005,7.3993,-101.3,25.781,0.006572,1
1,2,3,9.4111e+09,36.131,16.223,-61.885,59.472,0.0017081,3
1,2,3,9.6951e+09,10.008,6.7316,-113.28,16.673,0.0036835,1
1,2,3,9.5124e+09,19.996,12.265,-71.652,54.734,0.0003445,2
1,2,3,9.7021e+09,10.001,6.5311,-107.06,10.222,0.0032595,1
1,2,3,9.5062e+09,20,15.2,-72.725,56.589,0.0003445,2
1,2,3,9.8621e+09,10.077,1.6763,-118.75,0.59773,5.3e-05,0
1,2,3,9.5133e+09,19.998,10.882,-63.94,53.691,0.0003445,2
1,2,3,9.5046e+09,20.004,10.576,-73.655,53.629,0.0003445,2
1,2,3,9.9932e+09,10.209,4.1942,-112.82,1.9491,0.000424,0
1,2,3,9.1772e+09,2.5001,22.93,-61.023,75.968,0.0004505,4
1,2,3,9.406e+09,36.133,16.65,-65.834,60.471,0.0017081,3
1,2,3,9.4077e+09,36.135,17.649,-74.374,64.723,0.0017081,3
1,2,3,9.509e+09,20.001,14.728,-63.642,56.169,0.0003445,2
1,2,3,9.7033e+09,10.003,6.1752,-115.15,11.741,0.0078175,1
1,2,3,9.177e+09,2.5061,24.437,-74.043,77.427,0.0004505,4
1,2,3,9.6954e+09,10.003,8.9599,-111.19,40.923,0.004876,1
1,2,3,9.4126e+09,36.137,15.837,-71.941,57.305,0.0017081,3
1,2,3,9.4078e+09,36.137,15.705,-78.596,57.4,0.0017081,3
1,2,3,9.509e+09,19.995,11.617,-62.741,54.68,0.0003445,2
1,2,3,9.1733e+09,2.5012,25.332,-72.739,78.007,0.0004505,4
